campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Berkeley,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.70,3.92,3.81
Berkeley,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.67,3.90,3.86
Berkeley,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.59,3.83,3.61
Berkeley,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.79,3.98,3.97
Berkeley,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.69,3.97,3.83
Berkeley,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,3.90,
Berkeley,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.63,3.97,3.92
Berkeley,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.75,4.05,
Berkeley,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.59,3.88,3.89
Berkeley,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.60,4.11,
Berkeley,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.71,4.02,4.00
Berkeley,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.89,3.69
Berkeley,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.63,3.99,3.88
Berkeley,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.68,3.95,
Berkeley,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.66,4.03,3.96
Berkeley,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.71,4.11,
Berkeley,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.71,4.02,
Berkeley,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.84,4.07,
Berkeley,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.94,4.23,
Berkeley,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.91,4.07,3.92
Berkeley,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.82,3.92,
Berkeley,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,4.16,4.13
Berkeley,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.88,4.14,3.97
Berkeley,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.96,4.11,
Berkeley,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,4.01,4.19,4.20
Berkeley,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.93,4.15,4.05
Berkeley,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.93,4.10,3.91
Berkeley,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.90,4.10,4.02
Berkeley,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,4.09,4.21,4.16
Berkeley,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,4.01,4.12,
Berkeley,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,4.00,4.16,4.10
Berkeley,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.94,4.14,4.04
Davis,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,3.76,
Davis,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.48,3.71,
Davis,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.40,3.58,
Davis,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,3.65,3.58
Davis,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.42,3.61,
Davis,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.45,3.63,3.42
Davis,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.36,3.60,3.65
Davis,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.50,3.65,3.44
Davis,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.31,3.51,
Davis,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.61,3.49
Davis,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.58,3.71,3.66
Davis,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.69,
Davis,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.55,3.69,
Davis,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.40,3.75,
Davis,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.54,3.83,
Davis,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.50,3.92,
Davis,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.68,4.06,
Davis,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.74,3.96,
Davis,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,4.03,
Davis,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.68,4.08,
Davis,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,4.00,3.82
Davis,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.62,3.94,
Davis,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.76,4.01,3.99
Davis,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.86,4.02,
Davis,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.79,4.05,
Davis,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.80,4.12,
Davis,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,4.06,
Davis,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,4.05,
Davis,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.96,4.17,4.12
Davis,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.86,4.12,4.02
Davis,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.92,4.14,
Davis,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.89,4.06,
Irvine,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.65,3.57
Irvine,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.49,3.62,3.52
Irvine,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.37,3.52,3.35
Irvine,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.42,3.68,3.51
Irvine,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.68,3.49
Irvine,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.43,3.65,3.43
Irvine,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.46,3.65,3.53
Irvine,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.51,3.70,3.64
Irvine,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.56,3.34
Irvine,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.66,3.50
Irvine,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,3.67,3.46
Irvine,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.62,3.80,3.75
Irvine,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.44,3.58,3.41
Irvine,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.41,3.65,3.61
Irvine,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.52,3.80,3.60
